DIMENSIÓN;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;;;;;;;;;;;;;;;;;
COMPETENCIA;Visión de Negocio;Visión de Negocio;Visión de Negocio;Visión de la Organización;Visión de la Organización;Visión de la Organización;Orientación al Cliente;Orientación al Cliente;Orientación al Cliente;Networking;Networking;Networking;Comunicación;Comunicación;Comunicación;Delegación;Delegación;Delegación;Coaching;Coaching;Coaching;Trabajo en Equipo;Trabajo en Equipo;Trabajo en Equipo;Iniciativa;Iniciativa;Iniciativa;Optimismo;Optimismo;Optimismo;Gestión del Tiempo;Gestión del Tiempo;Gestión del Tiempo;Gestión del Estrés;Gestión del Estrés;Gestión del Estrés;Ambición;Ambición;Ambición;Aprendizaje;Aprendizaje;Aprendizaje;Autoconocimiento;Autoconocimiento;Autoconocimiento;Autocrítica;Autocrítica;Autocrítica;Toma de Decisiones;Toma de Decisiones;Toma de Decisiones;Integridad;Integridad;Integridad;Autocontrol;Autocontrol;Autocontrol;Equilibrio Emocional;Equilibrio Emocional;Equilibrio Emocional;;;;;;;;;;;;;;;;;
;visneg1e;visneg2;visneg3e;visorg1e;visorg2e;visorg3e;ortcli1e;ortcli2e;ortcli3e;networ1e;networ2e;networ3e;com1;com2;com3;dele1;dele2;dele3;coach1;coach2;coach3;equipo1;equipo2;equipo3;inicia1;inicia2;inicia3;optim1;optim2;optim3;gesttiem1;gesttiem2;gesttiem3;gestestr1;gestestr2;gestest3;ambi1;ambi2;ambi3;apren1;apren2;apren3;autocono1;autocono2;autocono3;autocri1;autocri2;autocri3;deci1;deci2;deci3;integ1;integ2;integ3;autocon1;autocon2;autocon3;equiem1;equiem2;equiem3;MOTEXT-11;MOTEXT-15;MOTEXT-17;MOTEXT-20;MOTINT-10;MOTINT-11;MOTINT-12;MOTINT-19;MOLTALT-12;MOTALT-14;MOTALT-17;MOTALT-19;sexo;EDAD;Resp_nivel;Sector;Empleados
;4;5;3;4;5;5;5;4;4;4;3;4;4;3;5;5;2;5;4;4;5;4;5;5;5;4;3;4;3;3;5;3;4;5;5;4;4;4;3;4;5;4;4;4;3;4;4;5;4;5;5;5;4;4;4;5;4;5;5;5;4;4;4;4;5;5;4;5;4;4;4;4;1;1970;1;8;
;4;4;4;4;4;5;4;4;4;4;4;4;4;3;5;5;5;5;4;4;4;5;5;5;3;4;4;5;5;5;1;3;4;3;5;5;4;4;5;5;5;5;4;4;4;5;5;5;5;5;5;4;5;4;4;5;5;5;5;5;2;5;4;3;4;5;4;5;4;2;3;3;1;1967;0;4;101 a 250
;4;4;4;4;5;4;4;4;4;2;2;3;4;4;4;4;3;4;5;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4;5;4;4;5;5;3;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;4;1;1;1;1;5;4;5;5;4;3;3;3;0;1969;0;3;Menos de 50
;5;5;4;5;5;4;3;4;5;4;2;2;2;3;3;4;5;5;5;4;4;4;5;4;4;5;5;5;5;3;5;1;2;4;3;4;5;4;5;5;5;5;5;3;5;5;5;4;5;5;5;3;4;1;3;4;4;5;5;5;2;2;3;5;5;5;5;5;5;4;5;4;1;1977;1;4;Menos de 50
;4;5;2;5;5;5;5;5;4;2;1;2;5;5;5;4;4;4;5;4;5;5;5;5;5;4;4;5;5;5;4;4;4;4;5;5;4;4;5;4;5;5;3;4;4;4;4;5;5;4;4;4;4;4;5;5;5;5;5;5;1;1;1;1;4;5;5;5;5;5;4;4;1;1969;0;7;251 a 500
;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;4;4;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;4;3;5;4;4;5;4;2;2;1;3;4;4;4;4;4;4;4;4;0;1972;1;4;Más de 20.000
;4;5;4;5;4;5;5;4;4;2;2;3;4;4;5;4;4;4;4;5;4;5;5;5;3;3;4;2;4;3;3;5;5;4;5;4;3;4;4;4;5;4;2;3;4;3;3;4;4;5;4;3;4;4;3;4;4;5;4;4;3;2;3;3;3;4;4;3;4;4;2;3;0;1975;0;9;2.501 a 5.000
;3;4;3;5;5;5;4;4;3;3;2;3;4;5;4;3;4;5;5;5;5;5;2;4;5;5;5;2;3;2;1;2;4;3;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;3;2;2;1;4;5;5;4;4;4;5;5;4;4;4;5;5;5;4;1;1975;1;2;501 a 2.500
;4;5;5;5;5;5;5;4;5;4;4;4;5;5;4;5;4;4;5;5;5;5;5;5;5;5;4;5;4;4;5;4;4;4;5;4;4;5;5;4;4;5;4;5;4;3;4;5;4;4;5;4;5;5;4;5;5;5;5;5;3;4;3;5;5;5;5;4;5;5;5;5;0;1972;1;10;Menos de 50
;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;5;5;5;5;5;5;5;5;1;1968;1;11;101 a 250
;4;5;4;5;5;4;5;4;4;2;2;2;5;4;4;5;4;5;3;4;5;4;4;5;5;5;5;4;4;5;4;2;4;2;5;3;5;5;4;5;5;5;5;4;4;4;4;5;4;5;5;4;5;5;4;4;4;5;4;4;1;1;2;2;5;5;5;5;3;3;2;4;1;1971;1;2;501 a 2.500
;4;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;4;5;5;4;4;4;5;5;5;5;5;5;5;4;5;3;4;5;5;5;5;4;5;5;4;4;4;5;5;5;2;2;2;2;5;5;5;5;3;4;2;2;0;1970;1;12;101 a 250
;4;5;4;4;5;5;5;4;4;4;4;4;4;5;4;5;4;4;4;5;5;5;5;5;5;4;3;5;3;4;2;3;4;3;5;4;5;4;5;4;5;5;4;4;4;5;5;5;4;4;4;4;5;5;3;4;5;4;5;4;3;3;4;3;4;5;5;5;5;4;4;4;1;1978;1;1;501 a 2.500
;4;4;3;4;4;5;4;4;4;2;2;3;4;4;4;4;4;5;4;5;5;5;4;4;4;4;5;5;4;4;4;3;2;3;5;4;5;5;5;4;4;4;3;3;2;3;4;5;4;5;5;4;4;4;3;3;3;4;4;5;1;2;2;3;4;5;4;5;4;4;5;4;0;1978;0;8;
;4;5;4;5;5;4;5;4;4;4;4;4;5;4;5;4;4;4;3;4;3;5;5;5;5;4;4;5;5;5;4;4;4;3;5;4;5;5;5;5;4;4;5;4;5;4;4;4;4;4;4;5;5;4;4;4;4;5;5;4;1;2;1;1;4;5;5;5;4;4;5;4;1;1967;1;13;51 a 100
;3;4;4;5;5;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;5;5;5;4;5;4;5;4;4;3;3;3;2;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;3;4;2;2;2;4;5;4;4;4;4;3;3;2;3;5;4;4;3;4;4;4;4;0;1965;1;9;251 a 500
;4;4;4;3;4;3;5;4;4;3;4;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;3;2;2;2;3;4;4;3;5;4;4;4;4;4;4;5;4;3;4;3;2;3;4;4;4;3;4;3;4;5;3;4;4;5;2;2;2;3;4;5;4;3;4;4;3;4;0;1968;1;1;251 a 500
;4;5;3;5;5;5;5;4;4;2;2;3;4;4;4;5;5;4;3;4;3;5;4;4;3;3;4;5;5;4;4;3;3;3;4;3;4;4;4;3;3;3;3;2;3;3;2;3;4;4;4;3;3;3;3;4;3;3;4;4;2;1;3;2;4;4;4;4;3;4;2;2;1;1977;1;9;Menos de 50
;4;4;4;5;4;5;5;4;4;4;4;4;5;4;3;4;4;3;3;4;4;5;4;4;5;5;5;5;4;3;4;4;3;3;4;4;4;4;5;4;2;3;4;4;3;5;4;5;5;4;4;3;4;4;4;4;4;4;4;4;2;2;1;2;5;5;5;5;5;4;4;5;0;1961;1;8;
;3;4;4;4;5;5;4;4;4;4;4;4;4;4;3;4;4;5;4;4;4;4;4;4;4;4;4;5;5;4;4;3;4;3;3;4;4;5;4;5;4;4;2;2;2;4;4;4;3;4;4;4;5;4;4;3;3;4;4;4;3;3;3;3;3;4;5;4;4;4;4;4;0;1960;1;2;251 a 500
;3;3;4;4;4;5;4;4;4;3;3;3;4;4;4;3;3;4;4;4;3;4;4;4;5;5;5;5;4;4;2;2;2;3;4;3;5;5;5;3;4;4;4;4;3;4;4;3;4;4;4;3;3;3;3;4;3;4;4;5;2;2;2;3;5;5;5;5;4;4;4;4;0;1968;1;7;Más de 20.000
;4;4;5;5;5;3;5;4;5;4;3;5;5;5;4;3;3;5;2;5;3;5;5;5;5;5;5;5;5;5;4;4;4;3;5;4;5;5;5;5;5;5;4;4;4;3;5;5;3;5;4;4;5;4;3;5;3;5;5;5;3;3;4;2;5;5;5;5;3;4;3;3;1;1967;1;14;101 a 250
;4;4;4;4;4;4;4;5;5;4;4;4;4;5;4;5;4;4;5;5;5;4;4;4;5;5;5;5;5;5;2;2;1;4;5;5;5;5;5;4;5;5;4;5;4;5;5;5;4;4;4;5;5;4;4;4;3;4;4;4;4;4;5;4;5;5;5;5;4;4;4;4;1;1980;0;8;
;3;5;4;5;4;4;4;4;4;3;3;3;4;4;3;4;2;3;4;4;4;4;3;4;4;4;4;2;4;4;2;3;4;2;3;2;4;4;4;5;3;3;4;4;4;4;4;4;4;4;4;3;4;4;2;3;3;4;4;4;3;2;3;4;4;4;5;4;4;4;4;4;0;1973;1;4;101 a 250
;4;4;4;3;3;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;2;3;3;3;2;2;3;3;4;4;3;4;4;3;3;2;2;3;3;3;3;3;2;2;3;3;4;5;2;2;2;3;3;3;3;3;2;4;4;4;2;2;2;2;3;4;4;3;2;3;2;3;1;1973;1;11;Más de 20.000
;4;5;5;5;5;5;5;5;4;4;4;4;4;3;3;4;5;5;5;5;5;4;5;5;5;5;4;3;4;4;3;5;4;2;5;4;4;5;5;3;4;4;3;3;3;5;5;5;3;5;4;5;3;5;4;4;4;4;5;5;3;5;4;5;5;5;5;5;5;5;5;5;0;1976;1;9;Menos de 50
;4;5;3;4;4;5;5;4;4;4;3;4;4;4;5;4;3;4;3;4;4;4;4;4;4;3;4;4;5;4;3;2;2;3;4;3;4;4;3;4;3;4;3;2;4;2;3;3;4;4;4;4;4;4;5;4;3;4;4;5;1;1;1;1;3;4;3;4;4;4;3;4;1;1966;1;12;Menos de 50
;3;4;2;4;4;4;4;4;4;3;3;3;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;2;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;1;1975;.;4;251 a 500
;4;5;4;5;5;5;4;5;5;4;2;4;5;4;5;5;4;5;4;4;4;4;5;5;5;5;5;5;5;4;4;3;4;4;5;4;5;4;4;4;4;4;4;3;4;5;4;5;4;4;4;4;5;4;4;4;5;4;5;5;1;1;1;1;5;5;5;5;4;4;4;4;1;1976;1;12;Menos de 50
;5;5;4;4;3;4;4;5;5;4;4;5;4;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;3;4;4;2;2;3;3;3;5;3;3;2;4;3;3;3;3;3;3;4;3;2;2;2;4;4;3;3;4;4;3;3;4;3;4;4;5;4;4;4;4;4;0;1982;1;11;Menos de 50
;4;5;5;4;4;4;5;5;5;3;4;4;3;3;2;5;5;4;4;4;4;5;4;5;5;5;5;5;4;5;4;4;5;5;5;4;5;5;4;5;4;5;4;5;4;4;4;5;5;5;4;5;5;4;2;2;2;5;5;5;1;2;2;1;4;4;4;3;4;4;4;4;0;1959;1;2;51 a 100
;2;5;2;5;4;4;4;4;2;2;2;2;5;4;4;4;3;4;5;4;3;4;3;3;4;5;5;3;4;3;4;4;4;3;3;2;4;4;5;3;4;4;2;3;3;3;4;5;2;3;4;3;3;4;4;3;3;5;5;5;1;2;1;2;5;4;5;5;3;2;3;3;0;1981;1;6;51 a 100
;3;4;3;5;5;4;5;5;5;4;4;4;4;3;4;3;4;5;4;4;3;5;4;4;5;5;4;3;3;4;3;3;3;3;4;4;5;4;4;4;4;4;3;3;3;3;4;5;3;3;4;4;4;4;2;3;4;4;5;5;1;1;1;3;4;4;3;3;3;4;4;4;0;1968;1;4;Menos de 50
;4;3;4;5;5;5;5;3;5;2;3;3;4;3;2;4;4;5;3;2;4;5;3;4;5;5;5;4;4;5;3;2;4;2;3;2;4;5;5;3;3;4;4;3;4;3;4;5;5;5;5;3;4;4;5;4;5;4;4;4;1;1;1;2;5;5;4;4;2;1;1;2;1;1975;0;2;501 a 2.500
;5;5;5;5;5;5;4;4;5;2;4;4;5;5;4;5;5;5;4;4;4;5;4;5;4;4;4;3;4;2;5;2;4;5;5;5;4;5;4;4;4;4;5;4;4;4;5;4;4;4;4;5;5;4;4;4;3;5;5;5;1;2;2;2;4;4;5;5;5;5;5;4;0;1977;1;3;51 a 100
;5;4;5;5;5;5;5;5;5;2;2;2;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4;4;3;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;5;5;2;3;3;3;5;5;5;5;4;4;3;3;0;1973;1;4;101 a 250
;5;5;5;4;4;5;5;5;5;4;4;4;4;5;4;5;5;5;5;4;5;4;5;5;5;5;5;5;4;5;5;4;5;4;5;5;5;5;5;4;5;5;5;4;5;5;5;4;5;5;5;4;5;4;4;5;5;4;5;5;3;2;3;2;5;5;5;5;5;3;4;4;0;1973;0;11;251 a 500
;3;4;2;3;4;5;5;4;4;3;2;4;5;4;4;4;3;4;5;4;4;4;4;4;4;5;4;4;3;3;4;3;4;4;5;4;4;4;4;5;4;4;5;4;5;3;5;4;4;5;4;4;5;4;4;4;5;5;5;4;3;4;3;3;5;5;4;5;4;4;4;5;0;1980;1;8;
;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;4;5;5;4;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;2;3;5;5;5;5;5;4;4;5;1;1969;0;2;251 a 500
;4;5;5;5;5;5;4;4;4;3;4;4;5;5;4;5;5;5;4;4;4;4;4;4;5;5;5;5;4;4;4;2;3;4;4;4;4;4;4;3;4;4;4;2;4;5;4;5;4;4;4;5;4;4;4;4;4;4;5;5;2;2;2;2;5;5;4;4;3;4;4;4;1;1971;1;10;Menos de 50
;4;5;4;5;5;5;5;4;4;4;3;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;4;4;4;5;4;2;2;4;5;5;5;5;4;5;5;5;5;5;5;2;4;4;5;5;5;4;5;5;5;5;5;4;5;5;1;2;2;2;5;5;5;5;5;5;4;5;1;1969;1;4;101 a 250
;5;5;2;5;5;5;5;5;5;4;5;3;4;3;4;4;4;5;4;5;4;5;5;5;4;5;5;5;5;5;4;3;5;4;5;5;5;5;5;3;3;3;4;3;3;3;4;4;4;4;4;5;5;5;3;4;3;5;5;5;1;1;1;1;5;5;4;5;4;4;4;4;1;1971;1;2;Menos de 50
;4;4;2;4;5;5;4;5;3;2;2;3;5;5;5;4;5;5;4;5;5;5;5;5;2;3;4;4;4;5;4;5;5;4;5;4;4;5;5;4;4;4;4;1;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;1;1;1;1;5;5;4;3;3;4;3;3;1;1972;1;8;
;4;4;3;5;4;5;5;5;5;4;4;4;3;3;3;4;3;4;4;4;3;4;5;5;5;5;5;4;5;5;4;4;2;4;5;4;5;5;5;3;4;5;4;4;5;5;5;5;4;5;4;5;5;5;4;5;5;5;5;5;1;1;2;1;5;5;5;5;4;3;4;4;1;1968;1;4;2.501 a 5.000
;4;5;4;5;5;4;5;5;4;2;4;2;5;5;4;4;4;5;4;4;4;5;5;4;5;5;5;4;3;4;4;2;2;3;3;5;4;4;4;4;4;4;4;2;3;3;2;4;5;4;5;3;4;4;4;5;4;4;5;5;1;1;1;2;5;4;4;3;4;4;4;4;1;1972;0;8;
;2;3;3;4;5;5;4;4;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;2;4;4;5;4;5;5;5;4;2;3;4;2;4;5;5;5;5;5;5;2;2;3;4;5;5;5;5;5;2;1;1;1;5;5;5;4;5;4;5;5;0;1973;1;1;501 a 2.500
;5;5;3;4;5;5;4;3;3;3;3;4;4;4;4;4;5;5;5;5;5;5;4;4;4;5;4;5;3;4;3;2;2;3;5;4;4;5;4;3;3;4;4;4;4;3;3;4;4;4;4;5;5;5;4;5;5;4;4;5;4;3;2;2;5;5;5;5;4;4;4;4;0;1964;1;11;Más de 20.000
;3;4;2;4;5;5;5;5;5;5;2;2;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;2;4;2;4;4;4;5;5;5;5;5;4;4;2;3;2;4;4;3;5;3;4;4;5;5;5;4;5;2;3;4;3;2;1;1;2;4;5;5;5;4;4;4;4;0;1983;1;8;
;4;4;3;5;4;4;4;4;4;2;2;3;3;3;3;4;5;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;5;3;5;4;4;3;4;4;3;3;4;3;4;4;3;3;3;4;4;3;3;3;3;4;5;4;2;1;1;2;5;5;5;5;4;2;4;4;0;1973;1;11;51 a 100
;3;5;4;4;5;4;5;4;4;4;5;4;5;3;4;4;5;4;4;5;4;5;5;5;4;4;5;5;5;5;4;2;2;4;5;4;5;5;5;5;3;5;3;4;2;3;4;5;4;5;5;5;5;4;5;4;5;4;4;5;5;5;5;5;5;5;5;5;4;3;4;5;1;1959;1;5;5.001 a 10.000
;3;4;4;3;4;5;5;4;4;2;2;3;3;4;4;2;4;5;3;3;4;4;2;3;4;2;5;2;2;2;2;2;2;2;5;2;3;3;5;4;2;2;5;3;5;4;3;4;4;4;4;3;3;2;4;3;4;5;4;4;1;1;1;1;4;5;5;4;5;4;4;4;1;1971;1;9;101 a 250
;5;5;4;5;5;5;5;5;4;5;4;4;4;5;4;5;4;5;5;5;5;4;4;5;4;5;4;3;2;2;2;2;2;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;4;4;3;5;5;5;1;1;1;1;4;4;4;4;5;5;5;5;0;1972;1;9;101 a 250
;4;4;4;4;5;5;4;4;4;3;3;3;4;4;5;4;4;4;5;5;5;5;4;4;5;5;5;5;4;4;3;3;2;3;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;3;3;4;5;5;4;3;3;3;5;5;4;4;4;3;4;4;0;1968;1;4;5.001 a 10.000
;4;5;4;4;5;5;5;5;5;4;4;3;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;4;5;5;4;4;4;4;5;5;5;5;5;4;4;5;3;3;5;2;2;5;4;4;4;5;5;4;5;5;5;4;4;5;2;2;3;2;2;4;4;3;3;2;2;2;1;1978;1;2;10.001 a 20.000
;4;5;4;4;5;5;4;4;5;4;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;4;4;4;4;4;5;5;5;5;4;5;5;4;4;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;1;1973;.;4;Más de 20.000
;3;4;5;5;5;4;4;5;5;5;4;4;5;5;5;5;3;5;4;5;5;4;5;5;5;5;5;5;5;5;4;3;2;2;2;2;5;5;5;4;4;4;4;4;4;3;3;4;5;5;5;2;2;2;4;5;5;4;4;5;3;2;2;2;5;4;5;3;4;3;2;4;0;1971;1;2;101 a 250
;2;2;2;4;5;5;5;5;5;1;2;2;5;5;4;3;3;3;4;4;2;4;4;3;5;5;5;3;4;2;3;2;3;2;3;3;4;3;4;4;4;4;2;1;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;4;3;3;4;3;2;2;2;1;1965;1;2;Menos de 50
;3;4;3;3;5;4;5;4;4;2;2;2;5;5;5;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;3;4;5;4;5;4;5;5;4;3;4;4;3;4;3;3;4;4;4;3;3;5;5;5;4;4;4;4;5;4;4;2;2;3;3;5;5;5;3;2;3;3;0;1964;1;2;501 a 2.500
