"LOC_NO","LOC_NAME","ENABLED","ADDR1","CITY","STATE","ZIP","COUNTRY","DOMAIN","TIMEZONE"
"02500013","OKEYJET S.A. VALENCIA","TRUE","CL CALLE PASCUAL Y GENIS 10","VALENCIA","VALENCIA","46002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02500008","OKEYJET S.A. GALDAKAO","TRUE","PG POLIGONO POL. ERLETXES PABELLON 29 0","GALDAKAO","VIZCAYA","48960","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02500017","OKEYJET S.A. BILBAO","TRUE","CL CALLE RODRIGUEZ ARIAS 59","BILBAO","VIZCAYA","48013","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02500016","OKEYJET S.A. ZARAGOZA","TRUE","CL CALLE PEDRO MARIA RIC 17","ZARAGOZA","ZARAGOZA","50008","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02600001","CODI SERVI S.L.","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02600002","CODI SERVI S.L.ASIMILADO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02600099","CENTRO TRABAJO GENERICO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700001","ACASERVI DIAGONAL","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700002","ACASERVI DIAGONAL ASIMILADO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700099","CENTRO TRABAJO GENERICO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700003","ACASERVI GIRONA","TRUE","CR CARRETERA DE BARCELONA 22","GIRONA","GERONA","17002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700004","ACASERVI LLEIDA","TRUE","AV AVENIDA DEL SEGRE 6","LLEIDA","LERIDA","25007","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700005","ACASERVI MADRID","TRUE","CL MARIE CURIE, 19, 3A PL. ED. AUTOCAMPO","RIVAS-VACIAMADRID","MADRID","28523","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"02700005","ACASERVI TARRAGONA","TRUE","CL CALLE RAMBLA NOVA 48","TARRAGONA","TARRAGONA","43004","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"03200001","JUANA GIL SANTOS","TRUE","CL CALLE VIA AUGUSTA 24","BARCELONA","BARCELONA","08006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
